2026-05-21 20:29:08 | logger | WARNING  | extract.py:86 | extract_air_quality | Нет станций OpenAQ вблизи (-9.54, -97.14)
2026-05-21 20:29:08 | logger | INFO     | service.py:69 | check_all_locations | Информации о качестве воздуха в локации 14970 не обнаружено
2026-05-21 20:29:08 | logger | INFO     | service.py:57 | check_all_locations | Проверка локации 14971 (координаты 52.95, 136.87)
2026-05-21 20:29:08 | logger | INFO     | extract.py:48 | find_nearby_locations | Запрашиваем OpenAQ: https://api.openaq.org/v3/locations?coordinates=52.95%2C136.87&radius=25000&limit=15
2026-05-21 20:29:09 | logger | INFO     | extract.py:56 | find_nearby_locations | OpenAQ: найдено 0 станций в радиусе 25000м от (52.95, 136.87)
2026-05-21 20:29:09 | logger | WARNING  | extract.py:86 | extract_air_quality | Нет станций OpenAQ вблизи (52.95, 136.87)
2026-05-21 20:29:09 | logger | INFO     | service.py:69 | check_all_locations | Информации о качестве воздуха в локации 14971 не обнаружено
2026-05-21 20:29:09 | logger | INFO     | service.py:57 | check_all_locations | Проверка локации 14972 (координаты 31.5, 69.5)
2026-05-21 20:29:09 | logger | INFO     | extract.py:48 | find_nearby_locations | Запрашиваем OpenAQ: https://api.openaq.org/v3/locations?coordinates=31.5%2C69.5&radius=25000&limit=15
2026-05-21 20:29:09 | logger | INFO     | extract.py:56 | find_nearby_locations | OpenAQ: найдено 0 станций в радиусе 25000м от (31.5, 69.5)
2026-05-21 20:29:09 | logger | WARNING  | extract.py:86 | extract_air_quality | Нет станций OpenAQ вблизи (31.5, 69.5)
2026-05-21 20:29:09 | logger | INFO     | service.py:69 | check_all_locations | Информации о качестве воздуха в локации 14972 не обнаружено
2026-05-21 20:29:09 | logger | INFO     | service.py:57 | check_all_locations | Проверка локации 14973 (координаты 73.83, 39.7)
2026-05-21 20:29:09 | logger | INFO     | extract.py:48 | find_nearby_locations | Запрашиваем OpenAQ: https://api.openaq.org/v3/locations?coordinates=73.83%2C39.7&radius=25000&limit=15
2026-05-21 20:29:09 | logger | INFO     | extract.py:56 | find_nearby_locations | OpenAQ: найдено 0 станций в радиусе 25000м от (73.83, 39.7)
2026-05-21 20:29:09 | logger | WARNING  | extract.py:86 | extract_air_quality | Нет станций OpenAQ вблизи (73.83, 39.7)
2026-05-21 20:29:09 | logger | INFO     | service.py:69 | check_all_locations | Информации о качестве воздуха в локации 14973 не обнаружено
2026-05-21 20:29:09 | logger | INFO     | service.py:57 | check_all_locations | Проверка локации 14974 (координаты -81.79, 91.44)
2026-05-21 20:29:09 | logger | INFO     | extract.py:48 | find_nearby_locations | Запрашиваем OpenAQ: https://api.openaq.org/v3/locations?coordinates=-81.79%2C91.44&radius=25000&limit=15
2026-05-21 20:29:10 | logger | INFO     | extract.py:56 | find_nearby_locations | OpenAQ: найдено 0 станций в радиусе 25000м от (-81.79, 91.44)
2026-05-21 20:29:10 | logger | WARNING  | extract.py:86 | extract_air_quality | Нет станций OpenAQ вблизи (-81.79, 91.44)
2026-05-21 20:29:10 | logger | INFO     | service.py:69 | check_all_locations | Информации о качестве воздуха в локации 14974 не обнаружено
2026-05-21 20:29:10 | logger | INFO     | service.py:57 | check_all_locations | Проверка локации 14975 (координаты 69.35, -138.32)
2026-05-21 20:29:10 | logger | INFO     | extract.py:48 | find_nearby_locations | Запрашиваем OpenAQ: https://api.openaq.org/v3/locations?coordinates=69.35%2C-138.32&radius=25000&limit=15
2026-05-21 20:29:10 | logger | INFO     | extract.py:56 | find_nearby_locations | OpenAQ: найдено 0 станций в радиусе 25000м от (69.35, -138.32)
2026-05-21 20:29:10 | logger | WARNING  | extract.py:86 | extract_air_quality | Нет станций OpenAQ вблизи (69.35, -138.32)
